0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
72 35 24 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
72 35 0 0 24 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
95 47 24 0 48 12 0 12 24 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
120 59 48 0 72 12 24 12 48 24 0 24 24 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
120 59 24 0 48 12 72 24 0 12 24 24 48 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
144 71 48 0 72 12 96 24 24 12 48 24 72 36 0 24 24 36 48 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0
144 71 72 0 96 12 48 12 72 24 24 24 48 36 0 36 24 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
144 71 24 0 48 12 72 24 96 36 0 12 24 24 48 36 72 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
168 83 96 0 120 12 96 24 48 24 72 36 24 36 48 48 0 48 24 60 0 0 0 0 0 0 0 0 0 0 0 0 0 0
168 83 24 0 48 12 72 24 96 36 120 48 0 12 24 24 48 36 72 48 96 60 0 0 0 0 0 0 0 0 0 0 0 0
168 83 72 0 96 12 120 24 48 12 72 24 96 36 24 24 48 36 72 48 0 36 24 48 48 60 0 0 0 0 0 0 0 0
168 83 48 0 72 12 96 24 120 36 24 12 48 24 72 36 96 48 0 24 24 36 48 48 72 60 0 0 0 0 0 0 0 0
216 107 144 0 168 12 120 12 144 24 96 24 120 36 72 36 96 48 48 48 72 60 24 60 48 72 0 72 24 84 0 0 0 0
216 107 24 0 48 12 72 24 96 36 120 48 144 60 168 72 0 12 24 24 48 36 72 48 96 60 120 72 144 84 0 0 0 0
192 95 72 0 96 12 120 24 144 36 48 12 72 24 96 36 120 48 24 24 48 36 72 48 96 60 0 36 24 48 48 60 72 72
